county,precinct,office,district,candidate,votes,party
Clark,Clark-3721 - LAS,"State Assembly, District 3",,"Araujo, Jr., Nelson",557,DEM
Clark,Clark-3721 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",244,
Clark,Clark-3721 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",377,
Clark,Clark-3721 - LAS,STATE QUESTION NO.1,,No,456,
Clark,Clark-3721 - LAS,STATE QUESTION NO.1,,Yes,388,
Clark,Clark-3721 - LAS,STATE QUESTION NO.2,,No,397,
Clark,Clark-3721 - LAS,STATE QUESTION NO.2,,Yes,447,
Clark,Clark-3721 - LAS,STATE QUESTION NO.3,,No,207,
Clark,Clark-3721 - LAS,STATE QUESTION NO.3,,Yes,613,
Clark,Clark-3721 - LAS,STATE QUESTION NO.4,,No,222,
Clark,Clark-3721 - LAS,STATE QUESTION NO.4,,Yes,590,
Clark,Clark-3721 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",86,LPN
Clark,Clark-3721 - LAS,"State Senate, District 3",,"Palmerston, Dennis",355,REP
Clark,Clark-3721 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",361,DEM
Clark,Clark-3721 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",489,
Clark,Clark-3721 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,228,
Clark,Clark-3721 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,229,
Clark,Clark-3721 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",491,
Clark,Clark-3721 - LAS,U.S. House,4,"Brown, Steve",35,LPN
Clark,Clark-3721 - LAS,U.S. House,4,"Hardy, Cresent",402,REP
Clark,Clark-3721 - LAS,U.S. House,4,"KIHUEN, RUBEN",360,DEM
Clark,Clark-3721 - LAS,U.S. House,4,"LITTLE, MIKE",28,IAP
Clark,Clark-3721 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",376,DEM
Clark,Clark-3721 - LAS,U.S. Senate,,"GUMINA, TONY",8,
Clark,Clark-3721 - LAS,U.S. Senate,,"HECK, JOE",391,REP
Clark,Clark-3721 - LAS,U.S. Senate,,"JONES, TOM",17,IAP
Clark,Clark-3721 - LAS,U.S. Senate,,None Of These Candidates,34,
Clark,Clark-3721 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",17,
Clark,Clark-3721 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",5,
Clark,Clark-3722 - LAS,CLARK COUNTY QUESTION NO. 5,,No,274,
Clark,Clark-3722 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,300,
Clark,Clark-3722 - LAS,County Commissioner Dist. C,,"Brown, Larry",333,
Clark,Clark-3722 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",212,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,178,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",321,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",333,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,167,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,158,
Clark,Clark-3722 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",329,
Clark,Clark-3722 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",185,
Clark,Clark-3722 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",269,
Clark,Clark-3722 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",245,
Clark,Clark-3722 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",211,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",218,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",243,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",239,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",217,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",299,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",162,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",312,
Clark,Clark-3722 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",147,
Clark,Clark-3722 - LAS,President,,"CASTLE, DARRELL",2,IAP
Clark,Clark-3722 - LAS,President,,"CLINTON, HILLARY",303,DEM
Clark,Clark-3722 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Clark,Clark-3722 - LAS,President,,"JOHNSON, GARY",19,LPN
Clark,Clark-3722 - LAS,President,,None Of These Candidates,14,
Clark,Clark-3722 - LAS,President,,"TRUMP, DONALD J.",246,REP
Clark,Clark-3722 - LAS,"State Assembly, District 3",,"Araujo, Jr., Nelson",409,DEM
Clark,Clark-3722 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",187,
Clark,Clark-3722 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",249,
Clark,Clark-3722 - LAS,STATE QUESTION NO.1,,No,277,
Clark,Clark-3722 - LAS,STATE QUESTION NO.1,,Yes,297,
Clark,Clark-3722 - LAS,STATE QUESTION NO.2,,No,224,
Clark,Clark-3722 - LAS,STATE QUESTION NO.2,,Yes,352,
Clark,Clark-3722 - LAS,STATE QUESTION NO.3,,No,133,
Clark,Clark-3722 - LAS,STATE QUESTION NO.3,,Yes,436,
Clark,Clark-3722 - LAS,STATE QUESTION NO.4,,No,163,
Clark,Clark-3722 - LAS,STATE QUESTION NO.4,,Yes,406,
Clark,Clark-3722 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",46,LPN
Clark,Clark-3722 - LAS,"State Senate, District 3",,"Palmerston, Dennis",216,REP
Clark,Clark-3722 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",285,DEM
Clark,Clark-3722 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",326,
Clark,Clark-3722 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,178,
Clark,Clark-3722 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,175,
Clark,Clark-3722 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",331,
Clark,Clark-3722 - LAS,U.S. House,4,"Brown, Steve",30,LPN
Clark,Clark-3722 - LAS,U.S. House,4,"Hardy, Cresent",225,REP
Clark,Clark-3722 - LAS,U.S. House,4,"KIHUEN, RUBEN",290,DEM
Clark,Clark-3722 - LAS,U.S. House,4,"LITTLE, MIKE",16,IAP
Clark,Clark-3722 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",305,DEM
Clark,Clark-3722 - LAS,U.S. Senate,,"GUMINA, TONY",6,
Clark,Clark-3722 - LAS,U.S. Senate,,"HECK, JOE",221,REP
Clark,Clark-3722 - LAS,U.S. Senate,,"JONES, TOM",11,IAP
Clark,Clark-3722 - LAS,U.S. Senate,,None Of These Candidates,21,
Clark,Clark-3722 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",5,
Clark,Clark-3722 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",7,
Clark,Clark-3723 - LAS,CLARK COUNTY QUESTION NO. 5,,No,294,
Clark,Clark-3723 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,327,
Clark,Clark-3723 - LAS,County Commissioner Dist. C,,"Brown, Larry",325,
Clark,Clark-3723 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",282,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,151,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",389,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",391,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,150,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,147,
Clark,Clark-3723 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",372,
Clark,Clark-3723 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",163,
Clark,Clark-3723 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",327,
Clark,Clark-3723 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",279,
Clark,Clark-3723 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",204,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",221,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",256,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",251,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",230,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",261,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",218,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",282,
Clark,Clark-3723 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",187,
Clark,Clark-3723 - LAS,President,,"CASTLE, DARRELL",2,IAP
Clark,Clark-3723 - LAS,President,,"CLINTON, HILLARY",259,DEM
Clark,Clark-3723 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Clark,Clark-3723 - LAS,President,,"JOHNSON, GARY",21,LPN
Clark,Clark-3723 - LAS,President,,None Of These Candidates,12,
Clark,Clark-3723 - LAS,President,,"TRUMP, DONALD J.",342,REP
Clark,Clark-3723 - LAS,"State Assembly, District 4",,"McArthur, Richard",320,REP
Clark,Clark-3723 - LAS,"State Assembly, District 4",,"Piro, John",285,DEM
Clark,Clark-3723 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",171,
Clark,Clark-3723 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",283,
Clark,Clark-3723 - LAS,STATE QUESTION NO.1,,No,320,
Clark,Clark-3723 - LAS,STATE QUESTION NO.1,,Yes,312,
Clark,Clark-3723 - LAS,STATE QUESTION NO.2,,No,286,
Clark,Clark-3723 - LAS,STATE QUESTION NO.2,,Yes,346,
Clark,Clark-3723 - LAS,STATE QUESTION NO.3,,No,139,
Clark,Clark-3723 - LAS,STATE QUESTION NO.3,,Yes,479,
Clark,Clark-3723 - LAS,STATE QUESTION NO.4,,No,163,
Clark,Clark-3723 - LAS,STATE QUESTION NO.4,,Yes,448,
Clark,Clark-3723 - LAS,"State Senate, District 18",,"Hammond, Scott T.",344,REP
Clark,Clark-3723 - LAS,"State Senate, District 18",,"Marks, Alexander",261,DEM
Clark,Clark-3723 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",396,
Clark,Clark-3723 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,152,
Clark,Clark-3723 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,163,
Clark,Clark-3723 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",381,
Clark,Clark-3723 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",230,
Clark,Clark-3723 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",245,
Clark,Clark-3723 - LAS,U.S. House,4,"Brown, Steve",18,LPN
Clark,Clark-3723 - LAS,U.S. House,4,"Hardy, Cresent",333,REP
Clark,Clark-3723 - LAS,U.S. House,4,"KIHUEN, RUBEN",251,DEM
Clark,Clark-3723 - LAS,U.S. House,4,"LITTLE, MIKE",12,IAP
Clark,Clark-3723 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",266,DEM
Clark,Clark-3723 - LAS,U.S. Senate,,"GUMINA, TONY",6,
Clark,Clark-3723 - LAS,U.S. Senate,,"HECK, JOE",315,REP
Clark,Clark-3723 - LAS,U.S. Senate,,"JONES, TOM",6,IAP
Clark,Clark-3723 - LAS,U.S. Senate,,None Of These Candidates,24,
Clark,Clark-3723 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",7,
Clark,Clark-3723 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",3,
Clark,Clark-3724 - LAS,CLARK COUNTY QUESTION NO. 5,,No,381,
Clark,Clark-3724 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,437,
Clark,Clark-3724 - LAS,County Commissioner Dist. C,,"Brown, Larry",507,
Clark,Clark-3724 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",284,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,220,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",506,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",510,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,226,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,204,
Clark,Clark-3724 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",500,
Clark,Clark-3724 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",277,
Clark,Clark-3724 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",382,
Clark,Clark-3724 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",369,
Clark,Clark-3724 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",283,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",333,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",304,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",341,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",305,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",386,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",250,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",413,
Clark,Clark-3724 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",223,
Clark,Clark-3724 - LAS,President,,"CASTLE, DARRELL",5,IAP
Clark,Clark-3724 - LAS,President,,"CLINTON, HILLARY",443,DEM
Clark,Clark-3724 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-3724 - LAS,President,,"JOHNSON, GARY",32,LPN
Clark,Clark-3724 - LAS,President,,None Of These Candidates,19,
Clark,Clark-3724 - LAS,President,,"TRUMP, DONALD J.",348,REP
Clark,Clark-3724 - LAS,"State Assembly, District 37",,"Lyttle, Sean D.",441,DEM
Clark,Clark-3724 - LAS,"State Assembly, District 37",,"Marchant, Jim",339,REP
Clark,Clark-3724 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",251,
Clark,Clark-3724 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",377,
Clark,Clark-3724 - LAS,STATE QUESTION NO.1,,No,374,
Clark,Clark-3724 - LAS,STATE QUESTION NO.1,,Yes,462,
Clark,Clark-3724 - LAS,STATE QUESTION NO.2,,No,355,
Clark,Clark-3724 - LAS,STATE QUESTION NO.2,,Yes,481,
Clark,Clark-3724 - LAS,STATE QUESTION NO.3,,No,183,
Clark,Clark-3724 - LAS,STATE QUESTION NO.3,,Yes,627,
Clark,Clark-3724 - LAS,STATE QUESTION NO.4,,No,224,
Clark,Clark-3724 - LAS,STATE QUESTION NO.4,,Yes,580,
Clark,Clark-3724 - LAS,"State Senate, District 6",,"Cannizzaro, Nicole",449,DEM
Clark,Clark-3724 - LAS,"State Senate, District 6",,"Seaman, Victoria",345,REP
Clark,Clark-3724 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",494,
Clark,Clark-3724 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,236,
Clark,Clark-3724 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,232,
Clark,Clark-3724 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",497,
Clark,Clark-3724 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",368,
Clark,Clark-3724 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",284,
Clark,Clark-3724 - LAS,U.S. House,4,"Brown, Steve",41,LPN
Clark,Clark-3724 - LAS,U.S. House,4,"Hardy, Cresent",321,REP
Clark,Clark-3724 - LAS,U.S. House,4,"KIHUEN, RUBEN",425,DEM
Clark,Clark-3724 - LAS,U.S. House,4,"LITTLE, MIKE",23,IAP
Clark,Clark-3724 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",426,DEM
Clark,Clark-3724 - LAS,U.S. Senate,,"GUMINA, TONY",5,
Clark,Clark-3724 - LAS,U.S. Senate,,"HECK, JOE",339,REP
Clark,Clark-3724 - LAS,U.S. Senate,,"JONES, TOM",11,IAP
Clark,Clark-3724 - LAS,U.S. Senate,,None Of These Candidates,25,
Clark,Clark-3724 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",19,
Clark,Clark-3724 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",5,
Clark,Clark-3725 - COUNTY,CLARK COUNTY QUESTION NO. 5,,No,0,
Clark,Clark-3725 - COUNTY,CLARK COUNTY QUESTION NO. 5,,Yes,0,
Clark,Clark-3725 - COUNTY,County Commissioner Dist. C,,"Brown, Larry",0,
Clark,Clark-3725 - COUNTY,County Commissioner Dist. C,,"Sedlmeyer, Stephen",0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Clark,Clark-3725 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",0,
Clark,Clark-3725 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",0,
Clark,Clark-3725 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",0,
Clark,Clark-3725 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",0,
Clark,Clark-3725 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",0,
Clark,Clark-3725 - COUNTY,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-3725 - COUNTY,President,,"CLINTON, HILLARY",0,DEM
Clark,Clark-3725 - COUNTY,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-3725 - COUNTY,President,,"JOHNSON, GARY",0,LPN
Clark,Clark-3725 - COUNTY,President,,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,President,,"TRUMP, DONALD J.",0,REP
Clark,Clark-3725 - COUNTY,"State Assembly, District 37",,"Lyttle, Sean D.",0,DEM
Clark,Clark-3725 - COUNTY,"State Assembly, District 37",,"Marchant, Jim",0,REP
Clark,Clark-3725 - COUNTY,"State Board of Education, Dist. 4",,"MARCIANO, LEN",0,
Clark,Clark-3725 - COUNTY,"State Board of Education, Dist. 4",,"NEWBURN, MARK",0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.1,,No,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.1,,Yes,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.2,,No,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.2,,Yes,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.3,,No,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.3,,Yes,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.4,,No,0,
Clark,Clark-3725 - COUNTY,STATE QUESTION NO.4,,Yes,0,
Clark,Clark-3725 - COUNTY,"State Senate, District 6",,"Cannizzaro, Nicole",0,DEM
Clark,Clark-3725 - COUNTY,"State Senate, District 6",,"Seaman, Victoria",0,REP
Clark,Clark-3725 - COUNTY,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Clark,Clark-3725 - COUNTY,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Clark,Clark-3725 - COUNTY,"Trustee, Clark County School Dist. E",,"Brooks, Lola",0,
Clark,Clark-3725 - COUNTY,"Trustee, Clark County School Dist. E",,"Tew, Patrice",0,
Clark,Clark-3725 - COUNTY,U.S. House,4,"Brown, Steve",0,LPN
Clark,Clark-3725 - COUNTY,U.S. House,4,"Hardy, Cresent",0,REP
Clark,Clark-3725 - COUNTY,U.S. House,4,"KIHUEN, RUBEN",0,DEM
Clark,Clark-3725 - COUNTY,U.S. House,4,"LITTLE, MIKE",0,IAP
Clark,Clark-3725 - COUNTY,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Clark,Clark-3725 - COUNTY,U.S. Senate,,"GUMINA, TONY",0,
Clark,Clark-3725 - COUNTY,U.S. Senate,,"HECK, JOE",0,REP
Clark,Clark-3725 - COUNTY,U.S. Senate,,"JONES, TOM",0,IAP
Clark,Clark-3725 - COUNTY,U.S. Senate,,None Of These Candidates,0,
Clark,Clark-3725 - COUNTY,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Clark,Clark-3725 - COUNTY,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-3726 - LAS,CLARK COUNTY QUESTION NO. 5,,No,527,
Clark,Clark-3726 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,655,
Clark,Clark-3726 - LAS,County Commissioner Dist. C,,"Brown, Larry",698,
Clark,Clark-3726 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",455,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,310,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",750,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",754,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,317,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,301,
Clark,Clark-3726 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",732,
Clark,Clark-3726 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",386,
Clark,Clark-3726 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",558,
Clark,Clark-3726 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",507,
Clark,Clark-3726 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",446,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",456,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",476,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",520,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",431,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",588,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",361,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",639,
Clark,Clark-3726 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",294,
Clark,Clark-3726 - LAS,President,,"CASTLE, DARRELL",3,IAP
Clark,Clark-3726 - LAS,President,,"CLINTON, HILLARY",622,DEM
Clark,Clark-3726 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-3726 - LAS,President,,"JOHNSON, GARY",41,LPN
Clark,Clark-3726 - LAS,President,,None Of These Candidates,36,
Clark,Clark-3726 - LAS,President,,"TRUMP, DONALD J.",527,REP
Clark,Clark-3726 - LAS,"State Assembly, District 4",,"McArthur, Richard",533,REP
Clark,Clark-3726 - LAS,"State Assembly, District 4",,"Piro, John",622,DEM
Clark,Clark-3726 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",378,
Clark,Clark-3726 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",535,
Clark,Clark-3726 - LAS,STATE QUESTION NO.1,,No,489,
Clark,Clark-3726 - LAS,STATE QUESTION NO.1,,Yes,726,
Clark,Clark-3726 - LAS,STATE QUESTION NO.2,,No,548,
Clark,Clark-3726 - LAS,STATE QUESTION NO.2,,Yes,671,
Clark,Clark-3726 - LAS,STATE QUESTION NO.3,,No,287,
Clark,Clark-3726 - LAS,STATE QUESTION NO.3,,Yes,904,
Clark,Clark-3726 - LAS,STATE QUESTION NO.4,,No,276,
Clark,Clark-3726 - LAS,STATE QUESTION NO.4,,Yes,897,
Clark,Clark-3726 - LAS,"State Senate, District 18",,"Hammond, Scott T.",538,REP
Clark,Clark-3726 - LAS,"State Senate, District 18",,"Marks, Alexander",619,DEM
